Restaurant,Review,Rating
Taco Bell,Highly recommend this place,5
Tim Hortons,Great flavors and excellent presentation,5
KFC,Cozy atmosphere and tasty food,4
Taco Bell,"Ambience was good, food was average",3
Olive Garden,Absolutely fantastic experience,5
Popeyes,The order was wrong and cold,2
Domino's,"Ambience was good, food was average",2
Dunkin,Average experience overall,3
Shake Shack,The taste was decent but not great,2
Five Guys,Highly recommend this place,4
Five Guys,Poor hygiene and bad taste,2
Shake Shack,Everything was perfect and delicious,4
Chili's,The taste was decent but not great,4
Wendy's,It’s fine for a quick meal,3
Tim Hortons,Everything was perfect and delicious,4
McDonald's,Best meal I’ve had in a while,5
Nando's,Everything was perfect and delicious,4
Dunkin,It’s fine for a quick meal,3
Tim Hortons,Amazing food and friendly staff,4
Nando's,The coffee was okay,3
Popeyes,Terrible service and cold food,2
McDonald's,The service was quick and polite,5
KFC,Great flavors and excellent presentation,4
Buffalo Wild Wings,"Mediocre, not too bad but not great",3
Wendy's,Waited too long and food was awful,2
Buffalo Wild Wings,"Loved the taste, will come again",5
Pizza Hut,Everything was perfect and delicious,4
Dunkin,"Mediocre, not too bad but not great",3
Domino's,"Food was okay, nothing special",2
Olive Garden,The coffee was okay,4
Pizza Hut,Fresh ingredients and fast service,4
KFC,Everything was perfect and delicious,4
Panda Express,Cozy atmosphere and tasty food,4
Shake Shack,Absolutely fantastic experience,5
Panda Express,Amazing food and friendly staff,4
Pizza Hut,Amazing food and friendly staff,5
Panda Express,It’s fine for a quick meal,3
Starbucks,Great flavors and excellent presentation,4
Buffalo Wild Wings,Reasonable quality for the price,3
Domino's,Average experience overall,4
Five Guys,The service was quick and polite,4
Popeyes,The coffee was okay,2
Buffalo Wild Wings,Amazing food and friendly staff,4
McDonald's,It’s fine for a quick meal,3
Five Guys,"Loved the taste, will come again",4
Popeyes,Terrible service and cold food,2
Dunkin,Average experience overall,4
Starbucks,Did not enjoy the meal at all,1
KFC,The service was quick and polite,4
Panda Express,It’s fine for a quick meal,4
Tim Hortons,Absolutely fantastic experience,4
Tim Hortons,Highly recommend this place,4
Buffalo Wild Wings,Cozy atmosphere and tasty food,5
Buffalo Wild Wings,Everything was perfect and delicious,5
Buffalo Wild Wings,Best meal I’ve had in a while,4
Subway,"Food was okay, nothing special",3
Subway,"Mediocre, not too bad but not great",2
Domino's,Absolutely fantastic experience,5
Shake Shack,The order was wrong and cold,2
Domino's,Absolutely fantastic experience,4
Starbucks,Fresh ingredients and fast service,5
Domino's,Highly recommend this place,4
Shake Shack,Fresh ingredients and fast service,4
Dunkin,The service was quick and polite,4
Five Guys,The service was quick and polite,5
Nando's,Reasonable quality for the price,2
Pizza Hut,Best meal I’ve had in a while,4
Olive Garden,Cozy atmosphere and tasty food,4
Tim Hortons,Waited too long and food was awful,2
McDonald's,Waited too long and food was awful,2
Chipotle,Cozy atmosphere and tasty food,5
Domino's,Great flavors and excellent presentation,5
Subway,Waited too long and food was awful,2
Pizza Hut,Fresh ingredients and fast service,5
McDonald's,It’s fine for a quick meal,3
Taco Bell,It’s fine for a quick meal,3
Five Guys,The service was quick and polite,5
Tim Hortons,Absolutely fantastic experience,5
Starbucks,Fresh ingredients and fast service,4
Shake Shack,Average experience overall,3
Olive Garden,Everything was perfect and delicious,5
Subway,The service was quick and polite,5
Tim Hortons,"Loved the taste, will come again",4
Popeyes,"Mediocre, not too bad but not great",2
Starbucks,Cozy atmosphere and tasty food,5
Burger King,"It was fine, just a regular visit",4
Chipotle,Fresh ingredients and fast service,5
Dunkin,"Loved the taste, will come again",4
Wendy's,Great flavors and excellent presentation,4
Starbucks,Food was stale and bland,2
Wendy's,Absolutely fantastic experience,4
Dunkin,Fresh ingredients and fast service,5
Domino's,Fresh ingredients and fast service,5
Chili's,"Loved the taste, will come again",4
Wendy's,Great flavors and excellent presentation,5
Chipotle,Everything was perfect and delicious,5
Pizza Hut,Best meal I’ve had in a while,4
Popeyes,Absolutely fantastic experience,4
Starbucks,Did not enjoy the meal at all,2
Subway,Great flavors and excellent presentation,5
Dunkin,Highly recommend this place,5
